steam_appid,game_name,category,developer,publisher,release_date,platforms,genres,steam_categories
2868840,Slay the Spire 2,personal,Mega Crit,Mega Crit,"5 Mar, 2026",windows|mac|linux,Indie|Strategy|Early Access,Single-player|Multi-player|Co-op|Online Co-op|Full controller support|Custom Volume Controls|Mouse Only Option|Playable without Timed Input|DualSense Controller Support|Save Anytime|Steam Input API Support|Steam Cloud|Stats|Steam Leaderboards|Family Sharing
3241660,R.E.P.O.,trending,semiwork,semiwork,"26 Feb, 2025",windows,Action|Early Access,Single-player|Multi-player|Co-op|Online Co-op|Camera Comfort|Custom Volume Controls|Playable without Timed Input|Stereo Sound|Steam Cloud|Family Sharing
322170,Geometry Dash,trending,RobTop Games,RobTop Games,"22 Dec, 2014",windows|mac,Action|Indie,Single-player|Steam Achievements|Steam Trading Cards|Partial Controller Support|Includes level editor|Remote Play on Phone|Remote Play on Tablet|Family Sharing
1808500,ARC Raiders,trending,Embark Studios,Embark Studios,"30 Oct, 2025",windows,Action,Multi-player|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|Steam Achievements|Full controller support|In-App Purchases|DualShock Controller Support|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Stats|Family Sharing
252490,Rust,personal,Facepunch Studios,Facepunch Studios,"8 Feb, 2018",windows|mac,Action|Adventure|Indie|Massively Multiplayer|RPG,Multi-player|MMO|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|Steam Achievements|Steam Trading Cards|Steam Workshop|In-App Purchases|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Stereo Sound|Subtitle Options|Surround Sound|Valve Anti-Cheat enabled|Stats|Remote Play on Tablet
381210,Dead by Daylight,personal,Behaviour Interactive Inc.,Behaviour Interactive Inc.,"14 Jun, 2016",windows,Action,Multi-player|PvP|Online PvP|Co-op|Online Co-op|Cross-Platform Multiplayer|Steam Achievements|Full controller support|Steam Trading Cards|Color Alternatives|Custom Volume Controls|Steam Input API Support|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|Remote Play on Phone|Remote Play on Tablet|Remote Play on TV|Family Sharing
3405690,EA SPORTS FC™ 26,personal,EA Canada|EA Romania,Electronic Arts,"25 Sep, 2025",windows,Simulation|Sports,Single-player|Multi-player|PvP|Online PvP|Shared/Split Screen PvP|Co-op|Online Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Cross-Platform Multiplayer|Steam Achievements|Full controller support|In-App Purchases|Chat Speech-to-text|Adjustable Difficulty|Keyboard Only Option|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Stereo Sound|Subtitle Options|HDR available
413150,Stardew Valley,personal,ConcernedApe,ConcernedApe,"26 Feb, 2016",windows|mac|linux,Indie|RPG|Simulation,Single-player|Multi-player|Co-op|Online Co-op|LAN Co-op|Shared/Split Screen Co-op|Shared/Split Screen|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Remote Play on Phone|Remote Play on Tablet|Remote Play Together|Family Sharing
2807960,Battlefield™ 6,trending,Battlefield Studios,Electronic Arts,"10 Oct, 2025",windows,Action,Single-player|Multi-player|PvP|Online PvP|Cross-Platform Multiplayer|Steam Achievements|Full controller support|In-App Purchases|Camera Comfort|Chat Speech-to-text|Chat Text-to-speech|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Keyboard Only Option|Playable without Timed Input|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|HDR available
553850,HELLDIVERS™ 2,personal,Arrowhead Game Studios,PlayStation Publishing LLC,"8 Feb, 2024",windows,Action,Multi-player|Co-op|Online Co-op|Steam Achievements|In-App Purchases|Adjustable Text Size|Camera Comfort|Chat Speech-to-text|Chat Text-to-speech|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Narrated Game Menus|Playable without Timed Input|DualShock Controller Support|DualSense Controller Support|DualSense Controller Support|Stereo Sound|Subtitle Options|Surround Sound|Partial Controller Support|Family Sharing
3240220,Grand Theft Auto V Enhanced,personal,Rockstar North,Rockstar Games,"4 Mar, 2025",windows,Action|Adventure|Racing,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Steam Achievements|In-App Purchases|DualSense Controller Support|DualSense Controller Support|Partial Controller Support|Remote Play on Phone|Remote Play on Tablet
105600,Terraria,personal,Re-Logic,Re-Logic,"16 May, 2011",windows|mac|linux,Action|Adventure|Indie|RPG,Single-player|Multi-player|PvP|Online PvP|Co-op|Online Co-op|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Remote Play on Phone|Remote Play on Tablet|Remote Play on TV|Family Sharing
3321460,Crimson Desert,trending,Pearl Abyss,Pearl Abyss,"19 Mar, 2026",windows|mac,Action|Adventure,Single-player|Steam Achievements|Full controller support|Custom Volume Controls|Gamepad Recommended|DualSense Controller Support|Save Anytime|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|HDR available|Family Sharing
3041230,Windrose,trending,Kraken Express,Kraken Express|Pocketpair Publishing (Japan),"14 Apr, 2026",windows,Action|Adventure|RPG|Early Access,Single-player|Multi-player|Co-op|Online Co-op|Full controller support|Custom Volume Controls|Adjustable Difficulty|Playable without Timed Input|Stereo Sound|Steam Cloud|Family Sharing
